"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Dallas Cowboyshigh","","50.1","14.2","10.9","16.6","3.1","0.0","347.1","5,447.8","118.8"
"","high","59.3","17.0","15.0","20.0","4.0","0.0","389.0","5,049.0","203.9"
"","low","45.5","11.9","8.7","13.2","2.5","0.0","315.0","5,693.4","121.0"
"Baltimore Ravenshigh","","50.9","14.2","11.0","16.5","2.7","0.0","323.9","5,269.2","117.2"
"","high","54.7","15.0","15.0","20.0","3.6","0.0","336.0","4,707.0","238.3"
"","low","45.4","12.1","8.9","13.0","1.0","0.0","305.0","5,663.4","125.0"
"New York Jetshigh","","47.8","14.5","9.5","15.5","2.8","1.0","338.9","5,160.2","114.8"
"","high","60.4","16.0","12.0","17.0","3.3","2.0","349.0","4,297.0","236.2"
"","low","41.4","12.1","8.0","13.9","2.0","0.0","326.7","5,617.6","114.0"
"Philadelphia Eagleshigh","","50.9","13.1","10.3","15.1","2.5","0.0","382.2","5,584.5","112.3"
"","high","59.7","15.1","14.0","19.0","2.9","0.0","398.0","5,025.0","190.4"
"","low","46.0","12.0","9.0","11.3","2.0","0.0","364.0","6,128.9","89.5"
"Houston Texanshigh","","49.1","13.3","10.7","15.5","2.4","0.5","393.3","5,710.5","112.2"
"","high","64.8","16.0","13.0","18.0","3.3","1.0","439.0","5,239.0","168.6"
"","low","40.5","11.7","9.0","12.9","1.0","0.0","362.0","5,974.4","92.5"
"Kansas City Chiefshigh","","50.0","12.1","10.0","15.8","2.7","0.5","337.8","5,286.9","111.5"
"","high","56.0","14.0","13.0","18.0","3.2","1.0","358.7","4,536.0","224.8"
"","low","44.0","10.0","8.9","13.6","2.0","0.0","324.0","5,891.2","102.3"
"Pittsburgh Steelershigh","","48.5","13.6","9.8","15.8","2.7","0.0","352.0","5,618.9","111.4"
"","high","53.8","17.0","13.0","18.0","3.0","0.0","371.6","5,495.0","158.6"
"","low","44.0","11.5","8.9","13.5","2.0","0.0","335.0","5,769.1","108.0"
"San Francisco 49ershigh","","44.3","15.1","9.4","13.8","2.7","0.5","326.7","5,499.5","110.5"
"","high","46.4","19.0","12.0","16.0","3.0","1.0","360.2","5,114.0","182.1"
"","low","42.1","12.7","8.0","11.6","2.0","0.0","288.0","5,717.4","114.0"
"Cleveland Brownshigh","","47.5","13.4","9.2","14.4","2.9","0.0","358.4","5,232.4","109.8"
"","high","53.1","15.0","11.0","16.0","3.0","0.0","390.0","4,760.0","190.5"
"","low","45.0","11.4","8.0","12.8","2.5","0.0","315.0","5,520.9","107.0"
"Buffalo Billshigh","","46.0","13.4","10.7","18.0","2.4","0.5","349.1","5,608.3","109.2"
"","high","52.3","15.0","16.0","22.0","3.4","1.0","389.8","4,960.0","234.7"
"","low","40.2","11.4","8.4","13.9","1.0","0.0","288.0","6,040.5","79.9"
"Indianapolis Coltshigh","","49.0","12.4","9.9","15.8","2.4","0.5","410.3","5,694.0","109.2"
"","high","65.9","13.5","13.0","17.0","2.7","1.0","455.0","5,267.0","166.1"
"","low","40.8","11.6","8.5","14.6","2.0","0.0","380.6","5,975.3","91.3"
"Miami Dolphinshigh","","47.2","12.4","10.4","18.0","2.5","0.5","376.9","5,517.3","108.4"
"","high","56.2","13.1","15.0","21.0","2.9","1.0","408.0","5,044.0","195.6"
"","low","42.3","11.9","8.9","15.1","2.0","0.0","336.4","5,823.5","100.0"
"Cincinnati Bengalshigh","","47.3","13.2","10.0","15.6","2.4","0.0","365.7","5,765.1","108.1"
"","high","52.8","15.0","13.0","18.0","3.3","0.0","391.0","5,696.0","162.6"
"","low","42.0","11.4","9.0","13.1","1.0","0.0","340.2","5,814.3","92.0"
"Los Angeles Chargershigh","","45.9","11.5","10.6","18.1","2.4","0.5","384.5","5,707.6","105.3"
"","high","52.4","13.5","15.0","21.0","3.2","1.0","393.0","5,354.0","157.6"
"","low","41.8","10.0","8.9","15.2","1.0","0.0","356.6","6,102.7","78.9"
"Jacksonville Jaguarshigh","","41.2","13.0","10.9","16.2","2.7","0.0","383.9","5,638.8","105.2"
"","high","44.5","15.0","16.0","22.0","3.1","0.0","405.6","5,378.0","152.4"
"","low","37.0","11.7","8.5","10.5","2.0","0.0","355.8","5,869.8","103.0"
"Green Bay Packershigh","","43.9","13.3","9.2","14.7","2.4","0.5","381.6","5,799.5","104.7"
"","high","49.7","16.0","13.0","18.0","2.8","1.0","394.4","5,510.0","150.5"
"","low","38.0","12.0","7.0","11.5","2.0","0.0","370.0","5,966.1","94.9"
"Atlanta Falconshigh","","45.9","12.4","9.3","13.8","2.4","0.5","377.1","5,370.4","104.6"
"","high","57.4","13.8","10.0","14.0","3.1","1.0","414.0","4,740.0","182.4"
"","low","40.0","11.0","8.5","13.5","2.0","0.0","345.1","5,844.7","98.0"
"Washington Commandershigh","","47.8","11.5","9.9","15.7","2.1","0.5","431.7","5,760.8","104.6"
"","high","57.5","13.3","14.0","19.0","2.7","1.0","484.0","5,470.0","119.5"
"","low","40.0","9.0","8.7","12.4","1.0","0.0","401.0","6,080.2","77.1"
"New York Giantshigh","","41.6","12.3","11.4","19.3","2.5","0.0","398.6","5,814.6","104.1"
"","high","45.0","13.0","17.0","23.0","3.2","0.0","408.4","5,516.0","155.4"
"","low","36.0","11.8","8.7","15.6","2.0","0.0","388.0","6,155.1","70.0"
"New Orleans Saintshigh","","41.9","13.4","10.0","14.4","2.5","0.0","362.7","5,538.4","103.9"
"","high","48.2","15.0","14.0","19.0","3.3","0.0","385.0","5,313.0","154.6"
"","low","37.0","11.9","8.8","9.8","2.0","0.0","336.0","5,669.3","99.0"
"Seattle Seahawkshigh","","45.1","12.6","9.5","14.3","2.2","0.5","394.5","5,826.8","103.1"
"","high","50.5","14.0","12.0","16.0","2.7","1.0","418.6","5,708.0","148.7"
"","low","39.2","11.9","8.6","12.5","1.0","0.0","355.9","5,925.2","93.0"
"Tampa Bay Buccaneershigh","","45.3","11.5","10.1","18.0","2.4","0.0","374.2","5,676.1","103.0"
"","high","51.3","13.2","15.0","21.0","2.8","0.0","392.0","5,196.0","184.4"
"","low","39.0","10.0","8.7","15.0","2.0","0.0","342.0","6,097.5","75.4"
"Las Vegas Raidershigh","","44.7","11.3","9.5","15.2","2.6","0.5","386.8","5,653.9","102.6"
"","high","49.8","13.0","13.0","18.0","3.0","1.0","411.0","5,230.0","146.8"
"","low","40.4","9.0","8.0","12.5","2.0","0.0","377.0","5,961.0","88.7"
"Denver Broncoshigh","","41.7","11.3","11.1","18.9","2.4","0.5","407.1","5,967.3","101.5"
"","high","45.0","12.3","18.0","24.0","3.2","1.0","470.0","5,769.0","149.8"
"","low","38.0","9.0","8.7","13.8","1.0","0.0","378.0","6,199.9","63.0"
"Chicago Bearshigh","","38.1","14.7","8.9","13.2","2.4","0.5","372.4","5,543.4","101.1"
"","high","40.1","17.0","10.0","13.3","2.9","1.0","395.0","5,033.0","173.5"
"","low","36.1","12.3","8.0","13.0","2.0","0.0","344.0","5,822.9","107.0"
"Detroit Lionshigh","","40.9","13.4","9.1","12.8","2.2","0.5","401.3","5,843.5","100.4"
"","high","43.3","15.3","10.0","14.0","2.8","1.0","441.0","5,591.0","142.1"
"","low","35.0","11.0","8.2","11.5","1.0","0.0","365.5","6,065.2","89.0"
"Minnesota Vikingshigh","","43.3","11.9","9.6","17.1","2.1","0.0","405.1","5,654.3","99.0"
"","high","47.3","13.1","13.0","18.0","2.5","0.0","428.0","5,215.0","142.3"
"","low","40.0","10.0","8.2","16.3","1.0","0.0","373.0","5,914.4","89.5"
"Los Angeles Ramshigh","","41.1","13.1","8.2","11.9","2.2","0.5","406.8","5,855.3","97.5"
"","high","46.5","14.0","9.0","12.0","2.7","1.0","435.0","5,475.0","132.8"
"","low","39.0","12.0","6.0","11.7","1.0","0.0","392.0","6,288.5","61.9"
"Tennessee Titanshigh","","43.5","11.1","9.2","12.9","2.1","0.0","394.1","5,703.0","96.6"
"","high","47.4","13.2","12.0","16.0","2.6","0.0","412.0","5,177.0","139.2"
"","low","41.0","9.0","7.0","9.9","1.0","0.0","363.0","5,983.8","79.0"
"Arizona Cardinalshigh","","38.3","11.9","8.8","13.3","2.3","0.0","427.0","6,041.1","93.5"
"","high","44.6","12.8","11.0","16.0","2.6","0.0","472.0","5,622.0","137.0"
"","low","35.0","11.0","7.0","10.6","2.0","0.0","396.4","6,358.1","53.1"
"New England Patriotshigh","","34.9","12.3","9.3","13.9","2.3","0.0","410.8","5,660.8","92.1"
"","high","35.8","13.0","12.0","16.0","2.7","0.0","422.0","4,936.0","166.4"
"","low","34.0","11.5","7.9","11.8","2.0","0.0","387.0","6,175.3","60.5"
"Carolina Panthershigh","","36.4","11.6","8.3","11.3","2.2","0.0","403.8","5,574.5","89.5"
"","high","39.9","13.3","9.0","11.6","2.5","0.0","459.0","4,980.0","161.7"
"","low","32.0","9.0","7.0","11.0","2.0","0.0","377.0","6,026.3","76.0"
""
""
