"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Christian McCaffrey","SFhigh","RB1","272.4","1,288.9","11.6","69.9","567.2","4.8","1.7","350.5"
"","high","312.5","1,442.2","13.0","76.4","612.0","7.0","1.2","400.5"
"","low","258.0","1,218.2","11.0","67.0","526.4","3.9","2.0","337.6"
"CeeDee Lamb","DALhigh","WR1","9.8","68.4","0.8","116.1","1,488.8","9.7","1.1","332.6"
"","high","12.6","85.9","1.0","120.5","1,590.0","10.9","1.0","442.0"
"","low","4.6","26.2","0.2","112.0","1,406.5","8.6","1.2","319.9"
"Tyreek Hill","MIAhigh","WR2","5.2","30.5","0.1","110.0","1,544.5","9.9","1.0","325.7"
"","high","6.6","39.6","0.3","116.3","1,598.0","11.0","0.9","437.4"
"","low","4.0","24.0","0.0","105.8","1,435.9","7.7","1.0","303.1"
"Breece Hall","NYJhigh","RB2","249.5","1,129.3","8.1","66.8","529.9","3.8","1.4","301.5"
"","high","309.7","1,360.3","9.0","75.0","646.0","8.0","1.0","347.0"
"","low","218.0","933.0","7.0","55.0","408.0","2.0","2.0","284.6"
"Bijan Robinson","ATLhigh","RB3","243.9","1,121.0","7.4","65.8","549.7","4.3","2.2","298.6"
"","high","293.9","1,267.0","8.2","72.7","627.2","8.0","1.6","333.6"
"","low","224.0","1,030.8","6.0","56.0","418.0","2.0","3.0","284.8"
"Amon-Ra St. Brown","DEThigh","WR3","4.5","31.3","0.1","111.0","1,351.2","8.2","0.9","297.0"
"","high","6.0","43.0","0.3","115.3","1,459.2","10.0","0.8","394.1"
"","low","2.3","13.4","0.0","107.0","1,263.6","7.0","1.0","285.4"
"Ja'Marr Chase","CINhigh","WR4","3.0","12.6","0.1","106.5","1,357.3","8.9","0.7","295.9"
"","high","4.4","24.7","0.2","116.4","1,439.4","10.2","0.0","395.8"
"","low","0.0","0.0","0.0","98.0","1,297.0","8.0","1.0","281.5"
"Justin Jefferson","MINhigh","WR5","1.2","3.8","0.0","105.5","1,447.8","7.4","1.0","293.5"
"","high","3.0","12.0","0.1","116.5","1,525.0","9.6","0.9","394.4"
"","low","0.0","-3.0","0.0","97.0","1,358.9","6.0","1.0","281.7"
"Puka Nacua","LARhigh","WR6","8.9","54.7","0.2","94.7","1,298.9","7.2","0.7","272.8"
"","high","12.4","77.2","0.7","102.1","1,449.0","8.0","0.0","358.5"
"","low","2.3","13.2","0.0","88.5","1,227.0","5.9","1.0","264.2"
"A.J. Brown","PHIhigh","WR7","0.0","1.4","0.0","92.9","1,318.3","8.2","1.3","271.6"
"","high","0.0","6.0","0.0","98.8","1,365.0","9.0","1.0","363.6"
"","low","0.0","0.0","0.0","89.0","1,251.0","7.6","2.0","262.9"
"Saquon Barkley","PHIhigh","RB4","269.1","1,128.7","9.3","48.0","344.1","3.0","1.7","265.7"
"","high","294.2","1,234.0","14.0","53.0","399.0","6.0","1.0","303.0"
"","low","247.0","1,037.0","7.0","44.0","311.1","2.0","2.0","243.6"
"Garrett Wilson","NYJhigh","WR8","3.9","19.2","0.1","95.1","1,190.1","8.1","1.3","262.9"
"","high","7.1","40.4","0.2","105.2","1,256.0","9.1","0.9","368.8"
"","low","0.0","0.0","0.0","80.5","1,139.7","7.0","2.0","245.1"
"Jonathan Taylor","INDhigh","RB5","283.5","1,270.5","10.1","37.3","279.0","1.6","1.4","259.6"
"","high","313.3","1,445.6","12.0","45.0","321.0","2.0","1.0","278.1"
"","low","255.0","1,122.0","9.0","32.0","239.2","1.0","2.0","247.6"
"Jahmyr Gibbs","DEThigh","RB6","202.5","941.8","8.4","54.6","388.9","2.2","1.4","248.5"
"","high","243.9","1,077.6","10.0","63.0","429.8","3.4","1.0","287.8"
"","low","180.0","871.5","7.0","47.0","331.0","1.0","2.0","236.6"
"Chris Olave","NOhigh","WR9","0.0","1.0","0.0","89.9","1,201.8","6.5","0.6","248.1"
"","high","0.0","5.0","0.0","96.0","1,264.4","7.0","0.0","330.0"
"","low","0.0","0.0","0.0","86.5","1,176.0","5.6","1.0","240.9"
"Davante Adams","LVhigh","WR10","0.0","1.0","0.0","93.0","1,129.0","6.5","0.5","244.0"
"","high","0.0","5.0","0.0","104.0","1,213.0","8.0","0.0","327.2"
"","low","0.0","0.0","0.0","89.1","1,079.0","5.1","1.0","237.9"
"Marvin Harrison Jr.","ARIhigh","WR11","0.5","3.6","0.0","88.4","1,174.9","6.8","1.5","244.0"
"","high","2.0","11.0","0.0","97.7","1,300.0","8.0","0.5","324.2"
"","low","0.0","0.0","0.0","81.0","1,104.0","5.7","3.0","233.9"
"Drake London","ATLhigh","WR12","0.0","2.2","0.0","87.9","1,139.8","7.0","0.9","242.4"
"","high","0.0","11.0","0.0","99.1","1,213.8","8.3","0.8","327.1"
"","low","0.0","0.0","0.0","83.3","1,021.4","6.0","1.0","230.2"
"Kyren Williams","LARhigh","RB7","245.4","1,115.3","9.9","34.4","251.4","1.9","1.7","239.0"
"","high","262.0","1,206.0","12.0","37.0","284.6","3.0","1.1","258.9"
"","low","217.5","1,013.3","9.0","30.5","231.3","1.0","2.0","230.7"
"Travis Etienne Jr.","JAChigh","RB8","250.1","1,025.3","8.2","46.1","358.1","1.2","1.3","238.1"
"","high","272.9","1,160.6","11.0","50.0","416.0","1.9","0.9","272.1"
"","low","225.4","906.0","7.0","44.0","326.7","1.0","2.0","224.7"
"Mike Evans","TBhigh","WR13","0.0","1.2","0.0","75.6","1,121.4","8.4","0.5","237.3"
"","high","0.0","5.0","0.0","80.0","1,154.0","10.0","0.0","305.9"
"","low","0.0","0.0","0.0","70.0","1,099.0","7.4","1.0","233.9"
"Nico Collins","HOUhigh","WR14","1.4","8.6","0.0","78.5","1,152.2","7.2","0.5","237.1"
"","high","4.4","25.0","0.2","84.3","1,275.0","8.0","0.0","309.6"
"","low","0.0","0.0","0.0","75.0","1,065.0","6.6","1.0","227.0"
"Cooper Kupp","LARhigh","WR15","2.9","17.4","0.1","85.9","1,060.9","7.3","0.5","236.6"
"","high","4.6","26.3","0.2","94.2","1,146.8","8.0","0.0","321.6"
"","low","2.0","10.0","0.0","78.1","996.6","6.5","1.0","225.7"
"Alvin Kamara","NOhigh","RB9","204.7","802.4","5.3","66.0","467.4","2.2","0.9","235.9"
"","high","251.1","1,025.2","6.7","75.0","526.0","3.1","0.8","271.9"
"","low","181.5","718.0","4.0","57.0","413.5","1.9","1.0","220.0"
"Derrick Henry","BALhigh","RB10","269.2","1,203.4","11.2","24.9","199.1","0.9","1.0","235.8"
"","high","311.4","1,406.8","12.0","27.2","228.0","1.3","0.9","257.3"
"","low","250.0","1,060.3","10.6","20.0","145.0","0.0","1.0","226.6"
"DeVonta Smith","PHIhigh","WR16","0.0","1.2","0.0","84.8","1,082.4","7.1","0.9","233.9"
"","high","0.0","6.0","0.0","88.2","1,127.0","9.0","0.7","312.6"
"","low","0.0","0.0","0.0","80.0","1,039.6","6.0","1.0","226.0"
"Rachaad White","TBhigh","RB11","235.3","914.0","6.5","52.6","395.9","2.4","1.7","233.7"
"","high","282.7","1,106.8","8.0","54.0","446.0","3.0","1.2","272.2"
"","low","212.3","846.0","5.0","50.0","359.5","1.7","2.0","224.3"
"Deebo Samuel Sr.","SFhigh","WR17","35.8","208.2","3.1","66.9","924.6","5.9","1.0","231.8"
"","high","43.0","238.0","4.0","74.3","983.0","6.8","0.9","295.2"
"","low","28.8","164.3","2.5","62.3","892.7","5.0","1.0","225.3"
"Josh Jacobs","GBhigh","RB12","255.5","1,055.9","8.6","39.7","301.7","1.1","1.1","231.7"
"","high","275.0","1,184.0","11.0","48.0","329.0","2.2","1.0","260.8"
"","low","232.0","959.5","6.7","34.0","255.0","0.0","1.2","216.3"
"Michael Pittman Jr.","INDhigh","WR18","0.3","3.0","0.0","96.7","1,062.2","5.0","1.0","231.4"
"","high","1.0","10.0","0.0","101.1","1,089.6","6.2","1.0","311.7"
"","low","0.0","0.0","0.0","88.0","985.0","4.0","1.1","224.7"
"James Cook","BUFhigh","RB13","231.7","1,033.2","5.1","45.0","382.4","2.8","1.4","231.2"
"","high","279.0","1,289.0","6.0","49.3","421.0","4.0","1.0","251.0"
"","low","207.1","908.0","4.0","40.0","309.0","2.0","2.0","217.7"
"Isiah Pacheco","KChigh","RB14","238.1","1,064.0","8.5","38.8","258.2","1.9","1.4","230.7"
"","high","276.9","1,217.4","11.0","45.5","318.0","2.1","1.0","276.7"
"","low","220.4","978.7","7.0","27.4","190.7","1.5","2.0","221.8"
"Brandon Aiyuk","SFhigh","WR19","0.8","4.0","0.0","75.2","1,130.6","7.2","0.9","230.3"
"","high","2.0","11.0","0.0","77.7","1,199.0","8.0","0.7","303.0"
"","low","0.0","0.0","0.0","70.0","1,067.2","6.8","1.0","222.1"
"Jaylen Waddle","MIAhigh","WR20","3.6","21.1","0.1","81.8","1,123.6","5.7","0.5","230.1"
"","high","4.4","25.6","0.2","91.3","1,255.4","6.0","0.0","313.8"
"","low","2.0","14.0","0.0","76.0","1,067.6","4.8","1.0","218.8"
"De'Von Achane","MIAhigh","RB15","175.1","907.2","7.2","45.4","348.3","2.9","0.9","229.9"
"","high","222.0","1,033.7","9.0","53.6","393.3","5.0","0.8","271.3"
"","low","144.0","749.2","5.9","39.0","295.0","2.0","1.0","209.6"
"Travis Kelce","KChigh","TE1","2.3","7.5","0.0","88.9","959.8","7.5","0.8","229.1"
"","high","2.3","11.0","0.1","101.0","1,149.0","8.4","0.5","294.0"
"","low","2.3","4.0","0.0","80.0","837.5","7.0","1.0","215.0"
"DK Metcalf","SEAhigh","WR21","0.0","1.2","0.0","73.6","1,065.9","8.1","0.5","227.9"
"","high","0.0","5.0","0.0","79.0","1,098.0","10.0","0.0","300.0"
"","low","0.0","0.0","0.0","67.0","1,017.0","7.0","1.0","224.1"
"Stefon Diggs","HOUhigh","WR22","1.9","9.1","0.1","85.1","1,032.0","6.6","1.0","227.2"
"","high","4.4","24.9","0.2","87.0","1,050.8","7.4","1.0","311.2"
"","low","0.0","0.0","0.0","82.0","1,016.0","5.8","1.0","220.1"
"DJ Moore","CHIhigh","WR23","2.3","15.1","0.2","76.1","1,047.0","7.0","0.9","223.8"
"","high","5.0","25.0","1.0","83.3","1,110.7","9.0","0.7","300.9"
"","low","0.0","0.0","0.0","69.0","999.0","6.0","1.0","214.8"
"Joe Mixon","HOUhigh","RB16","244.8","961.8","7.6","40.1","304.4","2.2","0.9","223.5"
"","high","277.2","1,112.6","10.0","43.0","362.0","3.0","0.6","247.6"
"","low","215.0","884.7","6.0","36.7","277.0","1.0","1.0","211.9"
"Malik Nabers","NYGhigh","WR24","0.5","5.0","0.0","81.2","1,076.4","5.9","1.2","222.2"
"","high","2.0","15.0","0.0","93.9","1,118.4","6.0","0.5","295.8"
"","low","0.0","0.0","0.0","70.0","1,031.0","5.5","2.0","210.2"
"Sam LaPorta","DEThigh","TE2","0.0","0.0","0.0","86.3","891.3","7.7","0.4","220.9"
"","high","0.0","0.0","0.0","99.5","1,031.9","9.0","0.0","291.2"
"","low","0.0","0.0","0.0","81.0","839.0","6.6","1.0","212.0"
"Amari Cooper","CLEhigh","WR25","0.0","1.0","0.0","73.0","1,106.9","6.3","0.9","219.8"
"","high","0.0","5.0","0.0","75.0","1,243.0","7.0","0.7","298.7"
"","low","0.0","0.0","0.0","69.4","1,045.4","5.5","1.0","209.4"
"Zay Flowers","BALhigh","WR26","7.4","46.3","0.6","79.4","964.5","6.2","1.0","219.1"
"","high","9.1","55.4","1.0","82.0","1,005.8","7.0","0.9","292.7"
"","low","5.4","31.2","0.0","74.0","932.0","5.6","1.0","214.4"
