"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Jalen Hurts","PHIhigh","520.2","339.7","3,810.5","24.4","12.1","145.3","624.2","11.3","3.8","360.5"
"","high","561.3","363.0","3,991.2","31.0","10.0","161.0","676.4","13.0","3.0","427.0"
"","low","495.6","319.8","3,624.2","20.9","16.0","124.5","535.5","9.9","4.4","314.1"
"Josh Allen","BUFhigh","564.7","368.1","4,060.4","27.8","14.0","108.2","556.7","8.9","4.0","360.2"
"","high","618.8","400.3","4,432.9","32.0","12.5","129.0","686.0","10.0","4.0","427.0"
"","low","522.1","345.1","3,746.9","23.1","15.5","93.0","496.1","8.0","4.1","313.5"
"Lamar Jackson","BALhigh","463.6","303.7","3,567.1","25.0","10.6","146.1","836.1","5.4","4.4","339.2"
"","high","502.6","331.6","3,875.6","29.0","10.0","161.9","944.3","6.3","3.0","390.0"
"","low","441.0","287.0","3,394.9","22.0","11.2","124.4","737.0","5.0","6.0","303.9"
"Patrick Mahomes II","KChigh","584.8","392.2","4,371.2","32.7","11.2","72.0","376.4","1.8","3.1","336.6"
"","high","609.0","415.0","4,599.6","33.2","9.2","81.0","421.0","3.2","2.0","394.3"
"","low","549.5","365.0","4,031.3","32.0","13.0","62.2","337.0","1.0","4.0","307.4"
"Anthony Richardson","INDhigh","511.7","325.6","3,503.7","20.0","11.4","127.6","646.0","7.9","5.0","310.4"
"","high","550.1","351.2","3,746.1","24.0","10.0","153.0","780.0","9.0","3.0","349.9"
"","low","487.7","311.1","3,349.0","15.9","12.0","106.0","545.7","6.0","6.0","275.4"
"Dak Prescott","DALhigh","573.9","386.3","4,190.4","30.8","12.0","51.9","221.3","2.0","2.8","307.5"
"","high","602.8","397.3","4,363.5","34.0","11.0","56.0","230.0","2.1","2.0","367.3"
"","low","549.7","372.8","4,028.0","26.6","13.0","45.9","202.4","2.0","3.4","276.1"
"C.J. Stroud","HOUhigh","556.7","362.5","4,336.1","29.4","10.1","43.8","183.8","2.4","3.6","306.0"
"","high","596.1","389.7","4,776.8","33.0","9.0","46.0","195.0","3.0","3.0","351.7"
"","low","528.0","346.0","4,058.7","26.8","12.0","40.0","162.0","2.0","4.0","276.5"
"Joe Burrow","CINhigh","580.8","389.2","4,242.2","30.2","11.5","56.7","191.4","2.1","3.1","304.7"
"","high","594.0","405.0","4,342.4","33.0","10.0","65.0","254.1","2.6","2.0","355.8"
"","low","554.7","368.8","4,131.9","26.8","12.0","50.0","150.0","2.0","4.0","279.1"
"Kyler Murray","ARIhigh","530.5","353.6","3,706.7","21.8","12.1","96.1","530.7","5.2","2.6","302.3"
"","high","557.0","378.0","3,794.7","27.0","11.0","123.8","672.6","6.5","0.0","344.1"
"","low","513.7","339.0","3,549.8","17.5","14.0","83.0","436.0","4.0","4.7","264.3"
"Jordan Love","GBhigh","545.5","355.1","3,988.2","29.4","11.5","45.7","200.3","2.4","3.0","294.0"
"","high","595.6","387.9","4,378.7","36.0","10.0","51.0","238.0","3.0","2.0","372.0"
"","low","517.4","329.7","3,725.4","26.4","12.7","35.4","154.1","1.6","4.1","260.4"
"Brock Purdy","SFhigh","498.1","336.2","4,076.6","29.6","10.8","43.5","159.9","1.9","2.6","293.1"
"","high","539.7","360.9","4,206.0","33.0","9.0","46.8","173.5","2.3","2.0","353.0"
"","low","469.0","317.9","3,907.9","24.3","12.0","37.2","141.1","1.3","3.0","259.6"
"Jayden Daniels","WAShigh","545.0","339.7","3,582.6","20.2","13.9","114.0","592.2","5.0","4.4","290.3"
"","high","588.0","365.3","3,899.2","27.0","13.0","129.0","674.4","6.0","3.0","341.0"
"","low","512.8","320.4","3,397.0","15.9","15.0","103.0","533.0","4.0","6.0","258.4"
"Trevor Lawrence","JAChigh","566.2","373.3","3,983.5","24.3","12.5","66.1","306.2","3.5","4.8","286.1"
"","high","596.4","392.7","4,190.7","28.0","11.9","70.0","318.0","5.0","4.0","340.6"
"","low","536.3","348.5","3,769.7","20.4","13.0","58.3","281.3","3.0","6.0","248.8"
"Caleb Williams","CHIhigh","532.3","346.5","3,781.8","25.3","13.4","77.5","361.2","3.3","4.3","286.0"
"","high","571.8","378.6","4,173.7","28.0","12.7","116.0","565.0","5.0","3.0","341.0"
"","low","494.0","318.0","3,478.0","22.9","14.0","61.6","292.0","2.0","6.0","252.0"
"Justin Herbert","LAChigh","544.1","355.8","3,846.8","24.5","9.9","64.6","262.8","2.7","3.0","278.4"
"","high","578.4","378.6","4,125.1","28.0","9.0","79.8","338.8","3.0","2.0","330.0"
"","low","495.9","322.5","3,559.7","22.7","10.7","54.0","211.0","2.0","4.0","251.8"
"Deshaun Watson","CLEhigh","544.7","334.4","3,746.9","22.9","13.3","77.1","385.3","3.2","3.8","277.9"
"","high","604.0","355.0","4,022.0","28.0","10.6","95.5","444.8","4.2","3.0","322.5"
