"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","SFhigh","272.3","1,289.1","11.6","69.9","567.0","4.8","1.7","350.5"
"","high","312.4","1,441.4","13.1","76.0","614.0","7.0","1.2","400.5"
"","low","258.0","1,218.2","11.0","67.0","526.4","3.9","2.0","337.6"
"Breece Hall","NYJhigh","249.4","1,129.2","8.1","66.8","530.0","3.8","1.4","301.6"
"","high","309.5","1,359.6","9.0","75.0","646.0","8.0","1.0","347.0"
"","low","218.0","933.0","7.0","55.0","408.0","2.0","2.0","284.6"
"Bijan Robinson","ATLhigh","243.9","1,112.8","7.4","65.5","534.1","4.3","2.2","295.9"
"","high","294.3","1,268.4","8.1","72.5","604.0","8.0","1.6","327.7"
"","low","224.0","1,030.8","6.0","55.0","414.0","2.0","3.0","284.5"
"Saquon Barkley","PHIhigh","269.1","1,128.7","9.3","48.0","344.1","3.0","1.7","265.7"
"","high","294.2","1,234.0","14.0","53.0","399.0","6.0","1.0","303.0"
"","low","247.0","1,037.0","7.0","44.0","311.0","2.0","2.0","243.6"
"Jonathan Taylor","INDhigh","283.5","1,270.5","10.1","37.3","279.0","1.6","1.4","259.6"
"","high","313.2","1,445.5","12.0","45.0","321.0","2.0","1.0","278.1"
"","low","255.0","1,122.0","9.0","32.0","239.2","1.0","2.0","247.6"
"Jahmyr Gibbs","DEThigh","202.5","941.8","8.4","54.6","388.9","2.2","1.4","248.5"
"","high","243.9","1,077.5","10.0","63.0","429.9","3.4","1.0","287.8"
"","low","180.0","871.5","7.0","47.0","331.0","1.0","2.0","236.6"
"Kyren Williams","LARhigh","245.4","1,115.3","9.9","34.4","251.4","1.9","1.7","239.0"
"","high","262.0","1,206.0","12.0","37.0","284.6","3.0","1.1","258.9"
"","low","217.5","1,013.3","9.0","30.5","231.4","1.0","2.0","230.8"
"Travis Etienne Jr.","JAChigh","250.0","1,025.1","8.2","46.1","358.2","1.2","1.3","238.2"
"","high","272.7","1,159.7","11.0","50.0","416.0","1.9","0.9","272.1"
"","low","225.4","906.0","7.0","44.0","327.0","1.0","2.0","224.7"
"Alvin Kamara","NOhigh","204.7","802.3","5.3","66.0","467.3","2.2","0.9","235.8"
"","high","251.3","1,025.7","6.7","75.0","526.0","3.1","0.8","271.9"
"","low","181.5","717.0","4.0","57.0","413.1","1.9","1.0","220.0"
"Derrick Henry","BALhigh","269.2","1,203.4","11.2","24.9","199.1","0.9","1.0","235.8"
"","high","311.4","1,406.8","12.0","27.2","228.0","1.3","0.9","257.4"
"","low","250.0","1,060.3","10.6","20.0","145.0","0.0","1.0","226.6"
"Rachaad White","TBhigh","235.2","913.7","6.5","52.6","396.0","2.4","1.7","233.8"
"","high","282.4","1,105.3","8.0","54.0","446.0","3.0","1.2","272.2"
"","low","212.3","846.0","5.0","50.0","360.0","1.7","2.0","224.3"
"Josh Jacobs","GBhigh","255.5","1,055.9","8.6","39.7","301.9","1.1","1.1","231.8"
"","high","275.0","1,184.0","11.0","48.0","329.0","2.2","1.0","261.0"
"","low","232.0","959.5","6.7","34.0","255.0","0.0","1.2","216.3"
"James Cook","BUFhigh","231.7","1,033.2","5.1","45.0","382.4","2.8","1.4","231.2"
"","high","279.0","1,289.0","6.0","49.3","421.0","4.0","1.0","251.0"
"","low","207.1","908.0","4.0","40.0","309.0","2.0","2.0","217.7"
