"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KChigh","89.5","967.4","7.5","0.8","230.5"
"","high","101.0","1,153.0","8.4","0.5","294.6"
"","low","80.0","837.6","7.0","1.0","215.2"
"Sam LaPorta","DEThigh","86.3","893.8","7.7","0.4","221.2"
"","high","99.4","1,043.2","9.0","0.0","291.2"
"","low","81.0","839.0","6.6","1.0","212.3"
"Mark Andrews","BALhigh","71.9","870.1","7.9","0.5","205.3"
"","high","83.6","991.6","11.0","0.0","266.3"
"","low","65.0","819.2","7.0","1.0","195.6"
"Trey McBride","ARIhigh","86.0","881.6","5.1","0.5","203.4"
"","high","100.0","1,038.2","6.8","0.0","276.0"
"","low","80.0","794.9","3.5","1.0","185.8"
"Dalton Kincaid","BUFhigh","83.1","830.5","5.4","0.8","197.0"
"","high","96.5","959.5","7.2","0.5","269.6"
"","low","74.8","727.9","4.0","1.0","179.0"
"George Kittle","SFhigh","65.4","881.4","6.0","0.4","188.8"
"","high","71.0","916.0","7.0","0.0","253.7"
"","low","61.0","844.5","4.7","1.0","177.6"
"Evan Engram","JAChigh","85.3","786.6","4.4","0.9","188.3"
"","high","92.0","831.0","5.7","0.7","250.8"
"","low","73.0","705.0","3.1","1.0","181.2"
"Kyle Pitts","ATLhigh","68.0","878.0","5.2","0.4","185.9"
"","high","82.4","1,016.1","6.6","0.0","245.9"
"","low","60.7","829.0","4.2","1.0","176.3"
"Jake Ferguson","DALhigh","70.8","736.3","5.9","0.4","178.9"
"","high","75.3","773.0","7.0","0.0","237.9"
"","low","65.5","675.7","5.0","1.0","171.2"
"David Njoku","CLEhigh","70.1","772.5","5.4","1.2","177.5"
"","high","76.0","882.0","7.0","0.5","235.2"
"","low","63.9","711.0","4.9","2.0","172.6"
"Dallas Goedert","PHIhigh","66.6","703.4","4.1","0.5","160.9"
"","high","74.0","744.6","6.0","0.0","223.3"
"","low","62.0","647.0","3.0","1.0","149.3"
"Brock Bowers","LVhigh","62.4","692.4","4.6","1.1","156.9"
"","high","68.4","758.0","5.0","0.4","221.6"
"","low","56.6","651.8","3.7","2.0","149.8"
"Dalton Schultz","HOUhigh","57.3","610.7","4.9","0.8","146.1"
"","high","59.2","656.0","6.0","0.4","206.3"
"","low","53.3","538.5","4.2","1.0","136.1"
"Pat Freiermuth","PIThigh","59.0","613.9","4.4","0.5","145.8"
"","high","65.0","652.0","5.0","0.0","203.5"
"","low","54.0","587.4","3.9","1.0","141.0"
"T.J. Hockenson","MINhigh","59.7","596.0","3.3","0.8","137.6"
"","high","64.0","663.0","4.0","0.4","203.5"
"","low","48.8","435.2","2.8","1.0","119.4"
"Cole Kmet","CHIhigh","55.7","550.2","4.3","0.5","135.6"
"","high","65.0","658.0","7.0","0.0","197.0"
"","low","37.8","367.2","2.6","1.0","107.8"
"Tyler Conklin","NYJhigh","53.6","534.2","3.4","0.1","127.0"
"","high","59.0","602.0","4.0","0.0","165.2"
"","low","47.0","466.0","3.0","0.3","120.5"
"Hunter Henry","NEhigh","46.6","482.4","4.2","0.1","120.0"
"","high","51.0","539.1","7.0","0.0","173.0"
"","low","44.0","432.1","2.4","0.3","111.8"
"Cade Otton","TBhigh","48.8","485.2","3.7","0.4","118.9"
"","high","55.0","525.0","4.0","0.0","168.7"
"","low","43.2","457.0","3.2","1.0","111.8"
"Chigoziem Okonkwo","TENhigh","49.6","528.1","2.7","0.4","117.7"
"","high","54.0","586.1","3.0","0.0","148.7"
"","low","41.0","417.0","2.0","1.0","114.9"
"Luke Musgrave","GBhigh","46.7","489.7","3.4","0.1","115.9"
"","high","58.0","606.0","4.0","0.0","176.2"
"","low","34.8","342.7","2.1","0.2","93.2"
"Noah Fant","SEAhigh","44.9","481.0","2.8","0.1","109.5"
"","high","48.7","517.7","3.0","0.0","153.9"
"","low","41.0","456.3","1.9","0.2","101.9"
"Juwan Johnson","NOhigh","40.5","441.4","4.1","0.1","109.3"
"","high","49.0","531.9","6.0","0.0","126.4"
"","low","32.0","359.0","3.0","0.2","101.8"
"Taysom Hill","NOhigh","27.5","261.5","2.1","0.3","105.5"
"","high","30.0","280.2","2.2","0.0","138.0"
"","low","22.0","226.0","2.0","0.7","96.5"
"Hayden Hurst","LAChigh","40.6","391.2","2.9","0.1","96.7"
"","high","54.6","472.0","3.2","0.0","109.4"
"","low","28.0","288.0","2.0","0.3","88.6"
"Jonnu Smith","MIAhigh","37.8","415.6","2.8","0.4","95.6"
"","high","45.0","524.0","4.0","0.0","128.2"
"","low","31.5","364.0","2.0","1.0","88.3"
"Isaiah Likely","BALhigh","32.2","388.1","3.7","0.0","93.2"
"","high","41.3","547.0","8.0","0.0","127.2"
