"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"CeeDee Lamb","DALhigh","116.1","1,488.0","9.7","9.8","68.2","0.8","1.1","332.5"
"","high","120.5","1,590.0","10.8","12.6","85.7","1.0","1.0","442.0"
"","low","112.0","1,407.9","8.6","4.6","26.3","0.2","1.2","320.1"
"Tyreek Hill","MIAhigh","110.2","1,542.4","9.9","5.2","30.5","0.1","1.0","325.4"
"","high","116.9","1,598.0","11.0","6.6","39.6","0.3","0.9","437.6"
"","low","106.2","1,437.2","7.6","4.0","24.0","0.0","1.0","302.9"
"Ja'Marr Chase","CINhigh","106.7","1,357.8","9.1","3.0","12.6","0.1","0.7","297.4"
"","high","116.5","1,437.7","10.2","4.4","24.7","0.2","0.0","396.0"
"","low","99.0","1,302.0","8.0","0.0","0.0","0.0","1.0","287.7"
"Amon-Ra St. Brown","DEThigh","111.0","1,354.3","8.2","4.5","31.1","0.1","0.9","297.4"
"","high","115.2","1,475.5","10.0","6.0","43.0","0.3","0.8","394.1"
"","low","107.0","1,263.8","7.0","2.4","13.4","0.0","1.0","285.6"
"Justin Jefferson","MINhigh","104.7","1,441.4","7.4","1.2","3.9","0.0","1.0","291.7"
"","high","112.8","1,518.0","9.3","3.0","12.0","0.1","0.9","393.6"
"","low","97.0","1,354.5","6.0","0.0","-3.0","0.0","1.0","280.4"
"A.J. Brown","PHIhigh","93.5","1,329.0","8.3","0.0","1.4","0.0","1.3","273.7"
"","high","98.7","1,365.0","9.0","0.0","6.0","0.0","1.0","364.2"
"","low","89.0","1,289.0","8.0","0.0","0.0","0.0","2.0","270.4"
"Puka Nacua","LARhigh","94.7","1,297.6","7.2","8.9","54.7","0.2","0.7","272.6"
"","high","101.8","1,448.0","8.0","12.4","77.4","0.7","0.0","358.5"
"","low","88.5","1,227.0","5.9","2.3","13.2","0.0","1.0","264.3"
"Garrett Wilson","NYJhigh","95.2","1,189.2","8.1","3.9","19.2","0.1","1.3","262.8"
"","high","105.5","1,256.0","9.1","7.1","40.4","0.2","0.9","368.9"
"","low","80.4","1,139.4","7.0","0.0","0.0","0.0","2.0","245.2"
"Chris Olave","NOhigh","89.8","1,204.9","6.5","0.0","1.0","0.0","0.6","248.3"
"","high","95.3","1,262.2","7.0","0.0","5.0","0.0","0.0","329.9"
"","low","86.5","1,176.0","5.6","0.0","0.0","0.0","1.0","240.8"
"Marvin Harrison Jr.","ARIhigh","88.4","1,177.6","6.8","0.5","3.6","0.0","1.5","244.2"
"","high","97.3","1,299.0","8.0","2.0","11.0","0.0","0.5","324.2"
"","low","81.0","1,104.0","5.7","0.0","0.0","0.0","3.0","234.5"
"Davante Adams","LVhigh","93.1","1,130.0","6.5","0.0","1.0","0.0","0.5","244.1"
"","high","104.0","1,213.0","8.0","0.0","5.0","0.0","0.0","327.3"
"","low","89.2","1,079.1","5.0","0.0","0.0","0.0","1.0","237.3"
"Drake London","ATLhigh","87.8","1,145.6","7.0","0.0","2.2","0.0","0.9","242.8"
"","high","98.7","1,241.0","8.3","0.0","11.0","0.0","0.8","327.0"
"","low","83.3","1,022.2","6.0","0.0","0.0","0.0","1.0","229.9"
"Nico Collins","HOUhigh","78.4","1,149.1","7.4","1.4","8.6","0.0","0.5","237.7"
"","high","84.5","1,269.4","9.0","4.4","25.0","0.2","0.0","309.5"
"","low","75.0","1,058.9","6.5","0.0","0.0","0.0","1.0","226.9"
"Mike Evans","TBhigh","75.5","1,119.8","8.4","0.0","1.2","0.0","0.5","236.9"
"","high","80.0","1,154.0","10.0","0.0","5.0","0.0","0.0","305.8"
"","low","70.0","1,092.8","7.4","0.0","0.0","0.0","1.0","233.5"
"Cooper Kupp","LARhigh","85.8","1,059.7","7.3","2.9","17.4","0.1","0.5","236.4"
"","high","94.0","1,141.9","8.0","4.6","26.3","0.2","0.0","321.5"
"","low","78.1","996.5","6.5","2.0","10.0","0.0","1.0","225.8"
"DeVonta Smith","PHIhigh","84.7","1,082.3","7.1","0.0","1.2","0.0","0.9","233.8"
"","high","88.0","1,127.0","9.0","0.0","6.0","0.0","0.7","312.5"
"","low","80.0","1,039.8","6.0","0.0","0.0","0.0","1.0","226.6"
"Michael Pittman Jr.","INDhigh","96.5","1,061.4","5.0","0.3","3.0","0.0","1.0","231.1"
"","high","100.9","1,088.0","6.2","1.0","10.0","0.0","1.0","311.5"
"","low","88.0","985.0","3.9","0.0","0.0","0.0","1.0","224.5"
"Deebo Samuel Sr.","SFhigh","67.0","925.9","5.9","33.9","199.4","3.0","1.0","230.8"
"","high","74.8","985.0","6.9","43.0","238.0","4.0","0.9","295.3"
"","low","62.2","895.0","5.0","28.9","164.6","2.0","1.0","225.3"
"Jaylen Waddle","MIAhigh","81.4","1,114.9","5.7","3.6","21.1","0.1","0.5","228.5"
"","high","89.2","1,211.3","6.0","4.4","25.6","0.2","0.0","313.4"
"","low","76.0","1,068.4","4.7","2.0","14.0","0.0","1.0","218.4"
"DK Metcalf","SEAhigh","73.7","1,068.5","8.1","0.0","1.2","0.0","0.5","228.1"
"","high","79.0","1,098.1","10.0","0.0","5.0","0.0","0.0","300.1"
"","low","67.0","1,023.0","7.0","0.0","0.0","0.0","1.0","224.2"
"Brandon Aiyuk","SFhigh","74.2","1,117.1","7.1","0.8","4.0","0.0","0.9","227.3"
"","high","79.0","1,201.0","8.0","2.0","11.0","0.0","0.7","302.0"
"","low","70.0","1,054.7","6.8","0.0","0.0","0.0","1.0","219.5"
"Stefon Diggs","HOUhigh","85.0","1,029.0","6.6","1.9","9.1","0.1","1.0","226.7"
"","high","86.6","1,040.4","7.3","4.4","24.9","0.2","1.0","311.1"
"","low","82.0","1,016.0","5.7","0.0","0.0","0.0","1.0","220.0"
"DJ Moore","CHIhigh","75.6","1,037.1","7.0","2.3","15.1","0.2","0.9","222.2"
"","high","83.4","1,107.3","9.0","5.0","25.0","1.0","0.7","300.4"
"","low","69.0","968.0","6.0","0.0","0.0","0.0","1.0","209.8"
"Malik Nabers","NYGhigh","80.6","1,075.8","5.8","0.5","5.0","0.0","1.2","221.4"
"","high","91.1","1,109.7","6.0","2.0","15.0","0.0","0.5","295.2"
"","low","70.0","1,031.0","5.5","0.0","0.0","0.0","2.0","209.6"
"Amari Cooper","CLEhigh","73.2","1,105.7","6.3","0.0","1.0","0.0","0.9","219.6"
"","high","75.0","1,245.0","7.0","0.0","5.0","0.0","0.7","298.9"
"","low","69.6","1,042.8","5.4","0.0","0.0","0.0","1.0","209.0"
"Zay Flowers","BALhigh","79.4","964.8","6.2","7.4","46.3","0.6","1.0","219.1"
"","high","82.0","1,007.8","7.0","9.1","55.4","1.0","0.9","292.7"
"","low","74.0","932.0","5.5","5.4","31.2","0.0","1.0","214.4"
"George Pickens","PIThigh","70.7","1,088.6","6.1","2.6","16.9","0.0","0.9","216.0"
"","high","79.0","1,153.0","8.0","4.5","28.5","0.2","0.8","283.9"
"","low","63.0","1,041.6","4.6","0.0","0.0","0.0","1.0","207.8"
"Chris Godwin","TBhigh","83.1","988.0","5.2","2.7","20.9","0.3","0.5","215.9"
"","high","87.0","1,038.0","5.9","4.0","27.0","1.0","0.0","298.7"
"","low","78.0","922.0","5.0","0.0","0.0","0.0","1.0","204.1"
"Tee Higgins","CINhigh","70.6","1,012.7","7.3","0.0","1.0","0.0","0.5","214.8"
"","high","78.9","1,068.5","9.0","0.0","5.0","0.0","0.0","287.5"
"","low","65.0","945.0","6.0","0.0","0.0","0.0","1.0","201.1"
"Christian Kirk","JAChigh","80.9","1,008.4","5.4","1.0","6.4","0.0","1.3","212.4"
"","high","87.2","1,066.0","6.0","2.0","11.9","0.1","1.0","298.2"
"","low","75.0","951.6","4.4","0.0","0.0","0.0","2.0","201.9"
"Rashee Rice","KChigh","78.1","926.1","7.1","1.5","7.0","0.0","1.0","212.1"
"","high","85.0","1,024.8","8.0","2.3","12.9","0.1","0.9","289.7"
"","low","73.0","876.9","6.0","0.0","0.0","0.0","1.0","199.1"
"Tank Dell","HOUhigh","69.1","942.7","7.0","11.1","61.6","0.2","0.6","211.0"
"","high","78.0","1,019.9","10.0","16.0","92.9","0.6","0.0","287.3"
"","low","62.0","855.0","5.8","4.4","25.0","0.0","1.0","196.8"
"Calvin Ridley","TENhigh","70.4","963.5","6.9","2.9","14.8","0.0","0.5","208.5"
"","high","75.0","1,024.0","9.0","8.0","34.0","0.1","0.0","277.7"
"","low","62.0","901.0","5.9","0.0","0.0","0.0","1.0","197.0"
"Terry McLaurin","WAShigh","76.6","1,018.1","4.7","0.3","2.2","0.0","0.5","205.5"
"","high","83.8","1,089.4","5.0","1.0","6.0","0.0","0.0","280.0"
"","low","72.1","982.9","3.3","0.0","0.0","0.0","1.0","194.3"
"Keenan Allen","CHIhigh","79.3","889.9","5.6","1.0","6.3","0.0","1.0","200.5"
"","high","86.2","984.1","6.0","2.1","12.4","0.1","0.9","291.7"
"","low","71.0","815.0","4.8","0.0","0.0","0.0","1.0","188.3"
"Diontae Johnson","CARhigh","72.8","905.7","5.7","1.0","7.2","0.0","0.6","197.4"
"","high","78.0","990.5","8.0","2.1","13.0","0.1","0.0","255.8"
"","low","64.0","794.0","4.0","0.0","0.0","0.0","1.0","190.8"
"Jayden Reed","GBhigh","64.2","796.9","5.9","8.9","73.4","1.2","0.6","192.3"
"","high","71.0","886.0","8.0","12.3","105.0","3.0","0.0","265.4"
"","low","58.0","732.0","5.0","4.4","25.0","0.2","1.0","181.5"
"DeAndre Hopkins","TENhigh","65.3","860.6","5.8","0.3","2.8","0.0","0.5","185.2"
"","high","68.8","942.2","9.0","1.0","8.0","0.0","0.0","234.8"
"","low","60.0","767.0","4.5","0.0","0.0","0.0","1.0","177.8"
"Jaxon Smith-Njigba","SEAhigh","72.2","793.6","5.2","0.0","2.0","0.0","0.6","181.6"
"","high","76.0","889.7","6.0","0.0","10.0","0.0","0.0","243.0"
"","low","68.0","707.0","4.7","0.0","0.0","0.0","1.0","171.2"
"Jordan Addison","MINhigh","64.2","827.1","5.7","0.3","4.0","0.0","0.5","180.4"
"","high","70.1","961.0","7.0","1.0","18.0","0.0","0.0","265.1"
"","low","55.0","717.0","4.3","0.0","0.0","0.0","1.0","164.6"
"Courtland Sutton","DENhigh","63.8","820.6","5.8","0.0","1.2","0.0","1.3","178.4"
"","high","71.1","899.2","9.0","0.0","5.0","0.0","0.8","239.9"
"","low","56.0","764.0","4.3","0.0","0.0","0.0","2.0","168.7"
"Rome Odunze","CHIhigh","62.2","846.9","5.3","1.0","6.4","0.0","1.1","177.5"
"","high","71.0","961.0","6.2","2.1","12.9","0.1","0.4","264.0"
"","low","57.0","786.0","4.0","0.0","0.0","0.0","2.0","161.2"
"Ladd McConkey","LAChigh","66.0","821.6","5.1","1.1","6.7","0.0","1.1","176.9"
"","high","73.3","890.5","6.0","2.2","13.7","0.1","0.0","245.1"
"","low","62.0","762.0","4.4","0.0","0.0","0.0","3.0","170.0"
"Christian Watson","GBhigh","53.4","775.7","6.9","4.1","24.3","0.3","0.5","175.6"
"","high","56.7","843.6","10.0","6.2","38.1","1.0","0.0","223.5"
"","low","48.0","735.0","5.0","2.0","12.4","0.0","1.0","163.3"
"Xavier Worthy","KChigh","56.6","821.6","5.9","3.7","23.2","0.1","0.8","175.1"
"","high","64.0","929.0","6.3","5.7","35.2","0.3","0.0","244.6"
"","low","51.4","761.9","5.1","2.0","11.0","0.0","2.0","166.4"
"Brian Thomas Jr.","JAChigh","63.2","831.7","5.0","0.7","6.0","0.0","1.1","174.8"
"","high","68.5","885.0","5.2","2.0","15.0","0.0","0.4","232.1"
"","low","61.0","784.0","4.8","0.0","0.0","0.0","2.0","170.2"
"Jerry Jeudy","CLEhigh","62.0","849.8","4.3","0.3","5.3","0.0","0.6","172.2"
"","high","63.5","920.1","5.0","1.0","13.0","0.0","0.0","228.0"
"","low","60.0","767.0","4.0","0.0","0.0","0.0","1.0","166.3"
"Hollywood Brown","KChigh","57.8","769.6","6.1","1.9","13.6","0.0","0.4","172.1"
"","high","65.6","832.4","8.0","2.0","19.0","0.1","0.0","228.4"
"","low","43.8","639.8","5.0","1.6","10.1","0.0","1.0","153.9"
"Tyler Lockett","SEAhigh","65.5","757.3","5.1","0.0","1.2","0.0","0.5","171.1"
"","high","69.3","781.0","6.0","0.0","5.0","0.0","0.0","234.8"
"","low","62.0","733.0","4.2","0.0","0.0","0.0","1.0","166.9"
"Joshua Palmer","LAChigh","62.1","786.3","4.7","0.3","2.8","0.0","0.9","167.6"
"","high","69.1","870.0","6.0","1.0","7.0","0.0","0.6","229.6"
"","low","58.0","723.6","4.0","0.0","0.0","0.0","1.0","159.9"
"Jakobi Meyers","LVhigh","64.7","728.9","4.6","2.4","15.6","0.3","0.5","167.5"
"","high","73.0","778.1","7.0","4.2","25.3","1.0","0.0","217.1"
"","low","60.0","678.0","3.3","0.0","0.0","0.0","1.0","163.2"
"Curtis Samuel","BUFhigh","61.0","662.9","4.6","11.3","66.7","1.0","0.5","166.5"
"","high","65.0","724.0","5.0","17.0","89.0","2.0","0.0","235.2"
"","low","56.0","602.0","4.0","4.5","25.3","0.2","1.0","159.0"
"Jameson Williams","DEThigh","53.8","758.6","4.7","4.5","42.0","0.7","0.6","165.4"
"","high","57.0","809.0","6.0","7.0","70.0","2.0","0.0","223.2"
"","low","48.0","716.0","4.0","2.4","13.4","0.0","1.0","155.6"
"Adam Thielen","CARhigh","69.2","695.5","4.5","0.3","3.0","0.0","0.6","164.7"
"","high","73.9","706.3","5.0","1.0","7.0","0.0","0.0","227.9"
"","low","66.9","680.0","4.0","0.0","0.0","0.0","1.0","160.2"
"Khalil Shakir","BUFhigh","59.3","769.1","4.6","0.3","4.0","0.0","0.2","163.8"
"","high","61.0","839.0","5.0","1.0","8.0","0.0","0.0","223.4"
"","low","56.8","721.4","3.6","0.0","0.0","0.0","0.7","154.7"
"Mike Williams","NYJhigh","56.2","753.5","4.9","2.3","9.2","0.0","0.5","160.9"
"","high","59.0","793.0","5.8","4.8","27.0","0.2","0.0","212.9"
"","low","54.0","709.1","4.0","0.0","0.0","0.0","1.0","150.2"
"Brandin Cooks","DALhigh","56.2","687.7","5.6","3.4","20.5","0.1","0.5","159.9"
"","high","60.0","724.0","7.0","5.0","33.0","0.2","0.0","207.1"
"","low","52.5","667.0","4.7","0.0","0.0","0.0","1.0","154.4"
"Keon Coleman","BUFhigh","55.8","745.4","5.0","1.0","4.8","0.0","1.1","158.6"
"","high","66.0","890.0","6.0","3.0","14.0","0.0","0.4","214.2"
"","low","45.5","566.7","4.0","0.0","0.0","0.0","2.0","136.2"
"Romeo Doubs","GBhigh","55.9","687.0","5.6","0.0","1.5","0.0","0.5","157.3"
